qid,source,bf,q,gt_docs,gt_chunks,gt_n,rank,hit1,hit3,t1,t1s,t2,t2s,t3,t3s,gt_prev,t1p
12,faq,예금자보호제도,외화예금도 보호되나요?,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#01;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#02,17,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#05,0.0328,kdic-www-sp-dpstrprot-selectProtSystProtTrgtPrdctSumr#01,0.0315,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#03,0.0315,"질문 예금보호한도 1억원은 언제부터 적용되었나요? 답변 2025년 9월 1일부터 예금보호한도 1억원이 적용되고 있습니다. 예금 가입시점에 상관없이, ’25.9.1",질문 외화예금도 보호되나요? 답변 네. 외화예금도 1억원까지 보호됩니다. ※ 예금보험금 지급공고일 기준 당해 금융회사의 최초 
13,faq,예금자보호제도,보험계약은 어떻게 보호되나요?,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#01;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#02,17,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#06,0.0323,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#03,0.031,kdic-www-sp-dpstrprot-ProtSystProtGudn-selectScrn#01,0.0306,"질문 예금보호한도 1억원은 언제부터 적용되었나요? 답변 2025년 9월 1일부터 예금보호한도 1억원이 적용되고 있습니다. 예금 가입시점에 상관없이, ’25.9.1","질문 보험계약은 어떻게 보호되나요? 답변 예금보험금을 지급하는 시점에 보험약관에서 정한 보험사고가 발생하지 않았다면, 해약환급"
14,faq,예금자보호제도,금융회사에 어떤 일이 발생했을 때 예금보험공사가 1억원까지 보호하나요?,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#01;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#02,17,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#07,0.0328,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#05,0.0315,kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn#00,0.0305,"질문 예금보호한도 1억원은 언제부터 적용되었나요? 답변 2025년 9월 1일부터 예금보호한도 1억원이 적용되고 있습니다. 예금 가입시점에 상관없이, ’25.9.1",질문 금융회사에 어떤 일이 발생했을 때 예금보험공사가 1억원까지 보호하나요? 답변 금융회사가 2025년 9월 1일 이후 영업정
15,faq,예금자보호제도,원금뿐만 아니라 이자도 보호되나요?,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn;kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn,kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn#01;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00,19,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#08,0.0328,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#10,0.0308,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#09,0.0308,예금자보호제도는 다수의 소액예금자를 우선 보호하고 부실 금융회사를 선택한 예금자도 일정부분 책임을 분담한다는 차원에서 예금의 전액을 보호하지 않고 일정액만을 보호,"질문 원금뿐만 아니라 이자도 보호되나요? 답변 은행·저축은행 예·적금의 경우, 예·적금 원금과 이자를 합쳐 1억원까지 보호됩니"
16,faq,예금자보호제도,"한 금융회사에 여러 개의 예·적금 계좌를 보유하고 있는 경우, 어떻게 보호되나요?",kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#01;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#02,17,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#10,0.0325,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#09,0.0325,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#03,0.0317,"질문 예금보호한도 1억원은 언제부터 적용되었나요? 답변 2025년 9월 1일부터 예금보호한도 1억원이 적용되고 있습니다. 예금 가입시점에 상관없이, ’25.9.1","질문 서로 다른 금융회사에 각각 예·적금 계좌를 보유하고 있는 경우, 어떻게 보호되나요? 답변 서로 다른 금융회사에 가입한 예"
17,faq,예금자보호제도,"서로 다른 금융회사에 각각 예·적금 계좌를 보유하고 있는 경우, 어떻게 보호되나요?",kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#01;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#02,17,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#10,0.0328,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#11,0.0312,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#03,0.031,"질문 예금보호한도 1억원은 언제부터 적용되었나요? 답변 2025년 9월 1일부터 예금보호한도 1억원이 적용되고 있습니다. 예금 가입시점에 상관없이, ’25.9.1","질문 서로 다른 금융회사에 각각 예·적금 계좌를 보유하고 있는 경우, 어떻게 보호되나요? 답변 서로 다른 금융회사에 가입한 예"
18,faq,예금자보호제도,"퇴직연금, 연금저축, 사고보험금에 대한 별도보호한도 1억원은 어떻게 적용되나요?",kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn;kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn,kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn#01;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00,19,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#11,0.0328,kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn#01,0.0315,kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn#00,0.031,예금자보호제도는 다수의 소액예금자를 우선 보호하고 부실 금융회사를 선택한 예금자도 일정부분 책임을 분담한다는 차원에서 예금의 전액을 보호하지 않고 일정액만을 보호,"질문 퇴직연금, 연금저축, 사고보험금에 대한 별도보호한도 1억원은 어떻게 적용되나요? 답변 ※ 별도 보호한도란? 국민의 노후 "
19,faq,예금자보호제도,법인의 예금도 보호되나요?,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#01;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#02,17,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#12,0.0328,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#03,0.03,kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn#01,0.0294,"질문 예금보호한도 1억원은 언제부터 적용되었나요? 답변 2025년 9월 1일부터 예금보호한도 1억원이 적용되고 있습니다. 예금 가입시점에 상관없이, ’25.9.1","질문 법인의 예금도 보호되나요? 답변 네. 기업 등 법인의 예금도 개인예금과 마찬가지로 법인별 1억원까지 보호됩니다. 다만, "
20,faq,예금자보호제도,예금보호한도 1억원은 세전인가요 아니면 세후인가요?,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#01;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#02,17,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#13,0.0328,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00,0.032,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#11,0.031,"질문 예금보호한도 1억원은 언제부터 적용되었나요? 답변 2025년 9월 1일부터 예금보호한도 1억원이 적용되고 있습니다. 예금 가입시점에 상관없이, ’25.9.1",질문 예금보호한도 1억원은 세전인가요 아니면 세후인가요? 답변 예금보험금 지급은 세전 기준으로 적용됩니다. 예금보험금을 수령한
21,faq,예금자보호제도,예금액 중에서 예금보호한도 1억원을 넘는 부분은 전혀 돌려 받지 못하나요?,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn;kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn,kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn#01;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00,19,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#15,0.0328,kdic-www-sp-dpstrprot-ProtSystProtLmts-selectScrn#00,0.031,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#13,0.03,예금자보호제도는 다수의 소액예금자를 우선 보호하고 부실 금융회사를 선택한 예금자도 일정부분 책임을 분담한다는 차원에서 예금의 전액을 보호하지 않고 일정액만을 보호,질문 예금액 중에서 예금보호한도 1억원을 넘는 부분은 전혀 돌려 받지 못하나요? 답변 예금보호한도 1억원을 초과하는 금액은 예
22,faq,예금자보호제도,부보금융회사가 합병되는 경우 예금보호한도는 어떻게 적용되나요?,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#00;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#01;kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#02,17,1,1,1,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#16,0.0328,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#14,0.0311,kdic-www-sp-dpstrprot-ProtSystFaq-selectScrn#12,0.0306,"질문 예금보호한도 1억원은 언제부터 적용되었나요? 답변 2025년 9월 1일부터 예금보호한도 1억원이 적용되고 있습니다. 예금 가입시점에 상관없이, ’25.9.1","질문 부보금융회사가 합병되는 경우 예금보호한도는 어떻게 적용되나요? 답변 부보금융회사가 합병되는 경우에 신설, 존속, 소멸하는"
23,faq,은닉재산 신고,부실관련자란 누구를 말하나요?,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#00;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#01;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,12,1,1,1,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#00,0.0328,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#09,0.032,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#01,0.032,질문 부실관련자란 누구를 말하나요? 답변 부실관련자란 금융회사 부실을 초래하여 공적자금 및 예금보험기금 투입을 유발한 금융회사 전 · 현직 임직원 및 금융회사에 ,질문 부실관련자란 누구를 말하나요? 답변 부실관련자란 금융회사 부실을 초래하여 공적자금 및 예금보험기금 투입을 유발한 금융회사
24,faq,은닉재산 신고,은닉재산이란 구체적으로 무엇을 말하나요?,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#00;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#01;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,12,1,1,1,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#01,0.0328,kdic-www-sp-sprtfund-SprtFndCncmDclrGudn-selectScrn#00,0.0318,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#03,0.0313,질문 부실관련자란 누구를 말하나요? 답변 부실관련자란 금융회사 부실을 초래하여 공적자금 및 예금보험기금 투입을 유발한 금융회사 전 · 현직 임직원 및 금융회사에 ,질문 은닉재산이란 구체적으로 무엇을 말하나요? 답변 은닉재산이란 금융부실관련자의 재산으로서 국내 또는 해외에 은닉한 동산 · 
25,faq,은닉재산 신고,은닉재산 신고정보의 처리 절차는 어떻게 되나요?,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#00;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#01;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,12,1,1,1,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,0.0323,kdic-www-sp-sprtfund-SprtCncmDclrInqGudn-selectScrn#00,0.032,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#05,0.032,질문 부실관련자란 누구를 말하나요? 답변 부실관련자란 금융회사 부실을 초래하여 공적자금 및 예금보험기금 투입을 유발한 금융회사 전 · 현직 임직원 및 금융회사에 ,질문 은닉재산 신고정보의 처리 절차는 어떻게 되나요? 답변 신고센터에 접수된 신고정보는 신고대상자가 부실관련자인지 여부를 확인
26,faq,은닉재산 신고,은닉재산은 일정금액(재산가치) 이상이 되어야 신고가 가능한가요?,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#00;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#01;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,12,1,1,1,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#03,0.0328,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#10,0.032,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#05,0.0303,질문 부실관련자란 누구를 말하나요? 답변 부실관련자란 금융회사 부실을 초래하여 공적자금 및 예금보험기금 투입을 유발한 금융회사 전 · 현직 임직원 및 금융회사에 ,질문 은닉재산은 일정금액(재산가치) 이상이 되어야 신고가 가능한가요? 답변 은닉재산은 금액에 관계없이 신고가 가능합니다.
27,faq,은닉재산 신고,이미 접수한 정보와 동일한 정보를 제3자가 신고하는 경우에 신고 정보의 처리절차는 어떻게 되나요?,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#00;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#01;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,12,1,1,1,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#04,0.0328,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,0.032,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#05,0.0315,질문 부실관련자란 누구를 말하나요? 답변 부실관련자란 금융회사 부실을 초래하여 공적자금 및 예금보험기금 투입을 유발한 금융회사 전 · 현직 임직원 및 금융회사에 ,질문 이미 접수한 정보와 동일한 정보를 제3자가 신고하는 경우에 신고 정보의 처리절차는 어떻게 되나요? 답변 이미 접수된 정보
28,faq,은닉재산 신고,은닉재산 신고시 신고정보의 취득경위까지도 신고센터에 알려주어야 하나요?,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#00;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#01;kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,12,1,1,1,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#05,0.0328,kdic-www-sp-sprtfund-SprtFndCncmDclrFaq-selectScrn#02,0.032,kdic-www-sp-sprtfund-SprtCncmDclrInqGudn-selectScrn#00,0.0308,질문 부실관련자란 누구를 말하나요? 답변 부실관련자란 금융회사 부실을 초래하여 공적자금 및 예금보험기금 투입을 유발한 금융회사 전 · 현직 임직원 및 금융회사에 ,질문 은닉재산 신고시 신고정보의 취득경위까지도 신고센터에 알려주어야 하나요? 답변 신고시 취득경위까지 반드시 알려주어야 할 의
